TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionAmount_Binned,CustomerAge_Binned,Target
841.28,Debit,Tucson,Online,26.0,Student,80.0,1.0,1103.64,0,0,0
38.15,Debit,Mesa,Online,26.0,Student,107.99999999999999,1.0,303.68,1,0,3
905.6600000000001,Debit,San Antonio,Branch,58.0,Doctor,144.0,1.0,5541.57,0,0,0
124.72,Debit,Oklahoma City,Branch,33.0,Engineer,105.0,1.0,6309.8,1,0,1
302.45,Credit,San Antonio,Branch,78.0,Retired,40.0,1.0,5133.61,2,0,1
208.04,Debit,Louisville,Online,47.0,Engineer,273.0,1.0,9344.98,1,0,2
5.77,Credit,Los Angeles,Branch,23.0,Student,254.0,1.0,1117.97,1,0,3
381.33,Debit,Albuquerque,ATM,56.0,Doctor,75.0,1.0,11835.35,2,0,2
16.16,Debit,Milwaukee,ATM,50.0,Doctor,123.99999999999999,1.0,14401.17,1,0,2
486.0799999999999,Debit,Oklahoma City,Online,18.0,Student,68.00000000000001,1.0,1748.69,2,1,0
336.39,Debit,San Antonio,Branch,21.0,Student,18.0,1.0,1000.46,2,0,3
905.6600000000001,Debit,Seattle,Online,69.0,Doctor,118.0,1.0,6810.05,0,0,0
234.57,Debit,Chicago,Online,23.0,Student,120.0,1.0,263.98,1,0,3
6.0,Debit,Chicago,Online,30.0,Doctor,246.0,1.0,5442.76,1,0,1
905.6600000000001,Debit,Detroit,ATM,80.0,Retired,21.000000000000004,1.0,2037.85,0,0,0
227.14,Debit,Charlotte,ATM,18.0,Student,294.0,1.0,341.94,1,1,3
233.74,Credit,Oklahoma City,Online,66.0,Retired,17.0,1.0,1066.59,1,0,3
45.85,Debit,Los Angeles,ATM,20.0,Student,91.99999999999999,1.0,1659.15,1,0,3
905.6600000000001,Debit,Sacramento,Branch,77.0,Retired,296.0,1.0,2042.22,0,0,0
415.5,Debit,Memphis,ATM,66.0,Doctor,141.0,1.0,10113.66,2,0,2
265.76,Debit,Philadelphia,Online,54.0,Retired,91.99999999999999,1.0,4446.17,1,0,1
69.4,Debit,Virginia Beach,Online,80.0,Retired,113.0,1.0,6452.77,1,0,1
332.93,Credit,Albuquerque,Branch,35.0,Engineer,293.0,1.0,2788.2,2,0,3
267.9,Debit,San Antonio,Online,20.0,Student,160.0,1.0,596.1599999999999,1,0,3
496.0299999999999,Debit,San Francisco,Branch,61.0,Doctor,265.0,1.0,12904.66,2,0,2
376.26,Debit,Tucson,ATM,37.0,Engineer,245.0,1.0,9062.4,2,0,1
83.02,Credit,Seattle,Online,36.0,Engineer,171.0,1.0,9009.56,1,0,1
93.26,Credit,New York,Online,20.0,Student,72.0,1.0,1152.2,1,0,3
803.37,Credit,Memphis,Branch,68.0,Doctor,129.0,1.0,12168.37,0,0,2
35.76,Debit,Charlotte,Branch,23.0,Student,122.0,1.0,611.8599999999999,1,0,3
28.53,Debit,Washington,Online,62.0,Doctor,99.0,1.0,8670.53,1,0,1
139.53,Credit,Louisville,Online,53.0,Doctor,177.0,1.0,10098.86,1,0,2
307.57,Debit,Detroit,Branch,33.0,Doctor,285.0,1.0,5307.74,2,0,1
60.650000000000006,Credit,Tucson,Branch,56.0,Retired,53.00000000000001,1.0,1047.28,1,0,3
74.86,Debit,Nashville,Branch,70.0,Doctor,125.0,1.0,6921.48,1,0,1
231.91,Debit,Memphis,ATM,34.0,Engineer,165.0,1.0,112.76,1,0,3
126.20999999999998,Debit,Baltimore,Branch,75.0,Retired,268.0,1.0,5669.66,1,0,1
506.28,Credit,Chicago,Online,53.0,Retired,162.0,1.0,1309.95,2,0,0
304.35,Debit,Houston,Branch,31.0,Engineer,36.0,1.0,4057.1,2,0,3
281.85,Debit,Detroit,ATM,22.0,Student,109.0,1.0,1585.98,1,0,3
777.88,Debit,Houston,Branch,31.0,Engineer,17.0,1.0,6825.55,0,0,1
119.18,Debit,Los Angeles,Branch,56.0,Retired,96.0,1.0,5516.5,1,0,1
177.19,Debit,Chicago,Online,76.0,Retired,43.0,1.0,5343.3,1,0,1
260.88,Debit,Denver,Branch,22.0,Student,36.0,1.0,903.05,1,0,3
169.47,Debit,Chicago,Online,24.0,Student,18.999999999999996,1.0,1806.16,1,0,3
73.23,Debit,Portland,Branch,26.0,Student,14.0,1.0,787.7399999999999,1,0,3
905.6600000000001,Debit,El Paso,ATM,29.0,Engineer,106.0,1.0,2429.68,0,0,0
792.57,Debit,Baltimore,ATM,19.0,Student,164.0,1.0,770.37,0,0,0
237.06,Debit,Phoenix,Online,71.0,Retired,45.99999999999999,1.0,1182.77,1,0,3
34.17,Credit,Philadelphia,Online,54.0,Engineer,53.99999999999999,1.0,726.55,1,0,3
740.25,Debit,Philadelphia,Online,41.0,Doctor,123.0,1.0,14464.3,0,0,2
453.54,Debit,Albuquerque,ATM,58.0,Doctor,82.0,1.0,12046.3,2,0,2
300.47,Debit,Jacksonville,Branch,73.0,Retired,100.00000000000001,1.0,7885.64,1,0,1
110.93,Credit,Virginia Beach,Branch,19.0,Student,201.0,1.0,1952.3499999999997,1,0,3
201.69,Debit,Las Vegas,ATM,59.0,Doctor,299.0,1.0,7328.52,1,0,1
399.21,Debit,Portland,ATM,59.0,Engineer,109.0,1.0,3210.39,2,0,3
905.6600000000001,Debit,Jacksonville,Online,78.0,Retired,57.0,1.0,5726.2,0,0,0
630.36,Debit,Mesa,ATM,62.0,Retired,52.00000000000001,1.0,1363.65,0,0,0
10.94,Credit,Philadelphia,ATM,60.0,Engineer,245.0,1.0,1241.99,1,0,3
215.9,Debit,Los Angeles,ATM,38.0,Doctor,235.0,1.0,7873.280000000001,1,0,1
905.6600000000001,Debit,Washington,Branch,79.0,Retired,165.0,1.0,5674.32,0,0,0
226.37,,Louisville,Branch,49.0,Doctor,141.0,1.0,9840.04,1,0,2
444.89,Credit,Las Vegas,Branch,43.0,Doctor,101.0,1.0,10328.23,2,0,2
280.57,Credit,Virginia Beach,Online,25.0,Student,24.0,1.0,293.24,1,0,3
488.54,Debit,Jacksonville,Branch,52.0,Engineer,132.0,1.0,7486.63,2,0,1
3.3,Credit,Los Angeles,Branch,50.0,Doctor,131.0,1.0,11385.37,1,0,2
199.39,,Colorado Springs,Branch,69.0,Retired,165.0,1.0,7264.79,1,0,1
20.36,Debit,Tucson,Branch,62.0,Retired,75.0,1.0,2762.48,1,0,3
493.11,Debit,Colorado Springs,Branch,53.0,Retired,236.0,1.0,7432.99,2,0,1
307.41,Debit,Los Angeles,ATM,19.0,Student,14.0,1.0,1057.0,2,0,3
11.18,Debit,Atlanta,Online,43.0,Doctor,161.0,1.0,5956.89,1,0,1
313.82,Debit,Tucson,Branch,59.0,Engineer,151.0,1.0,7261.59,2,0,1
140.98,Debit,Memphis,Branch,60.0,Engineer,100.00000000000001,1.0,8127.4800000000005,1,0,1
288.04,Debit,Denver,ATM,68.0,Retired,63.0,1.0,1748.02,1,0,3
800.55,Debit,Oklahoma City,ATM,31.0,Engineer,107.99999999999999,1.0,9660.22,0,0,2
485.54,Debit,Houston,ATM,46.0,Engineer,143.0,1.0,6371.51,2,0,1
521.15,Debit,Kansas City,ATM,54.0,Doctor,214.0,1.0,9442.47,2,0,2
304.93,Debit,Portland,ATM,65.0,Doctor,158.0,1.0,13531.22,2,0,2
432.08,,El Paso,ATM,40.0,Doctor,145.0,1.0,11500.62,2,0,2
694.2,Debit,Milwaukee,ATM,61.0,Retired,72.0,1.0,1389.37,0,0,0
116.86,Debit,Louisville,ATM,55.0,Engineer,171.0,1.0,6706.56,1,0,1
74.88,Debit,Atlanta,ATM,25.0,Student,202.0,1.0,420.67,1,0,3
890.24,Credit,Las Vegas,Online,33.0,Engineer,161.0,1.0,5140.93,0,0,0
361.27,Debit,Omaha,ATM,63.0,Doctor,180.0,1.0,7945.57,2,0,1
131.56,Debit,Charlotte,Branch,44.0,Doctor,42.00000000000001,1.0,5873.54,1,0,1
485.51,Credit,Milwaukee,Online,76.0,Retired,37.0,1.0,3074.45,2,0,0
547.87,Debit,Columbus,ATM,64.0,Retired,131.0,1.0,6155.76,2,0,1
457.3,Debit,Virginia Beach,Online,28.0,Engineer,15.0,1.0,8318.29,2,0,1
506.24,Debit,Chicago,ATM,58.0,Engineer,64.0,1.0,230.09,2,0,0
486.59,Debit,Indianapolis,Branch,57.0,Retired,119.0,1.0,2513.56,2,0,0
163.68,Debit,San Diego,Branch,41.0,Doctor,292.0,1.0,10090.05,1,0,2
581.65,Debit,Boston,ATM,22.0,Student,176.0,1.0,480.19000000000005,2,0,0
52.01,Debit,Mesa,ATM,48.0,Doctor,85.0,1.0,1120.88,1,0,3
630.24,Debit,Boston,ATM,21.0,Student,61.99999999999999,1.0,370.81,0,0,0
523.74,Debit,Oklahoma City,ATM,43.0,Doctor,159.0,1.0,13498.55,2,0,2
705.6,Debit,Phoenix,Branch,40.0,Doctor,123.99999999999999,1.0,14804.7,0,0,2
217.5,Credit,Denver,Branch,46.0,Engineer,35.0,1.0,3057.4,1,0,3
91.48,Debit,Fort Worth,ATM,51.0,Doctor,141.0,1.0,14942.779999999999,1,0,2
5.25,Debit,San Jose,ATM,39.0,Doctor,49.0,1.0,14143.32,1,0,2
54.03,Credit,Milwaukee,ATM,56.0,Retired,161.0,1.0,6736.3,1,0,1
736.73,Debit,Memphis,Branch,48.0,Engineer,10.0,1.0,3313.07,0,0,0
368.91,,Virginia Beach,Branch,54.0,Doctor,14.0,1.0,829.7099999999999,2,0,3
33.06,Credit,Fort Worth,Online,53.0,Retired,170.0,1.0,1540.87,1,0,3
66.5,Credit,Louisville,Online,32.0,Engineer,144.0,1.0,6820.23,1,0,1
177.08,Debit,Las Vegas,,35.0,Doctor,85.0,1.0,13475.14,1,0,2
588.54,Debit,Portland,Branch,32.0,Engineer,130.0,1.0,714.4499999999999,2,0,0
173.5,Debit,Nashville,ATM,21.0,Student,282.0,1.0,1306.91,1,0,3
78.33,Credit,Memphis,Online,56.0,Engineer,189.0,1.0,7255.33,1,0,1
40.66,Debit,Louisville,Branch,59.0,Retired,156.0,1.0,1153.84,1,0,3
97.22,Credit,Atlanta,Branch,77.0,Retired,55.0,1.0,6647.73,1,0,1
34.07,Debit,Philadelphia,Branch,22.0,Student,81.0,1.0,8709.77,1,0,1
492.06000000000006,Debit,Fresno,Online,23.0,Student,74.0,1.0,857.9,2,0,0
842.01,Credit,Virginia Beach,Online,53.0,Doctor,185.0,1.0,509.45000000000005,0,0,0
73.55,Debit,Atlanta,ATM,51.0,Engineer,158.0,1.0,2812.06,1,0,3
760.53,Debit,Phoenix,Online,57.0,Engineer,118.0,1.0,6179.91,0,0,0
371.69,Debit,San Francisco,Branch,67.0,Retired,143.0,1.0,3484.32,2,0,3
218.96,Debit,Seattle,ATM,18.0,Student,13.0,1.0,754.21,1,1,3
227.39,Debit,Atlanta,Online,18.0,Student,65.0,1.0,751.09,1,1,3
237.99,Credit,Kansas City,Branch,39.0,Doctor,86.0,1.0,8510.09,1,0,1
186.6,Debit,,Online,58.0,Doctor,13.0,1.0,1508.72,1,0,3
341.15,Debit,San Jose,Online,18.0,Student,148.0,1.0,511.36999999999995,2,1,3
434.58,Debit,Memphis,ATM,59.0,Doctor,215.0,1.0,12648.32,2,0,2
312.88,Credit,Portland,Branch,54.0,Engineer,44.0,1.0,233.21,2,0,3
75.15,Debit,Boston,ATM,23.0,Student,154.0,1.0,1092.92,1,0,3
23.3,Debit,Los Angeles,ATM,59.0,Engineer,161.0,1.0,6711.15,1,0,1
47.38,Credit,Seattle,Online,25.0,Student,61.00000000000001,1.0,459.37,1,0,3
512.81,Debit,Sacramento,Branch,79.0,Retired,30.0,1.0,6994.34,2,0,1
488.15000000000003,Debit,Louisville,Branch,43.0,Engineer,168.00000000000003,1.0,7071.09,2,0,1
12.82,Debit,Fort Worth,ATM,44.0,Engineer,156.0,1.0,9045.19,1,0,1
66.9,Credit,Charlotte,Online,79.0,Retired,129.0,1.0,5238.71,1,0,1
535.91,Debit,Las Vegas,Online,43.0,Engineer,22.0,1.0,9642.12,2,0,2
270.72,Credit,Washington,Online,26.0,Engineer,53.00000000000001,1.0,6263.96,1,0,1
97.98,Debit,Denver,Branch,72.0,Retired,18.0,1.0,7460.329999999999,1,0,1
196.08,Debit,San Francisco,Online,61.0,Retired,98.0,1.0,4233.82,1,0,1
251.18000000000004,Debit,San Jose,ATM,42.0,Engineer,246.0,1.0,8303.9,1,0,1
44.52,Debit,El Paso,Online,28.0,Student,205.0,1.0,314.28,1,0,3
178.87,Debit,Baltimore,Online,35.0,Doctor,180.0,1.0,5241.23,1,0,1
905.6600000000001,Credit,Kansas City,ATM,54.0,Engineer,174.0,1.0,323.69,0,0,0
386.68,Debit,New York,Branch,46.0,Doctor,128.0,1.0,6863.06,2,0,1
167.14,Debit,Denver,Online,76.0,Retired,20.0,1.0,3877.7299999999996,1,0,3
345.22,Debit,Fresno,Branch,69.0,Retired,253.0,1.0,4046.5800000000004,2,0,3
74.85,Debit,Raleigh,ATM,72.0,Retired,117.0,1.0,2409.73,1,0,3
671.73,Debit,Washington,Branch,58.0,Engineer,53.99999999999999,1.0,5211.88,0,0,0
255.03999999999996,Debit,Seattle,ATM,45.0,Engineer,151.99999999999997,1.0,6217.86,1,0,1
45.77,Debit,Philadelphia,Online,25.0,Student,109.0,1.0,5978.12,1,0,1
329.69,Credit,San Antonio,Online,26.0,Student,66.0,1.0,1671.66,2,0,3
362.04,Credit,Philadelphia,Branch,58.0,Doctor,198.0,1.0,8421.88,2,0,1
11.92,Debit,San Diego,,53.0,Doctor,52.00000000000001,1.0,14611.9,1,0,2
47.42,Debit,San Diego,ATM,64.0,Doctor,28.0,1.0,8253.52,1,0,1
35.99,Debit,Miami,Branch,63.0,Retired,129.0,1.0,4489.79,1,0,1
151.19,Credit,New York,Branch,37.0,Doctor,96.0,1.0,11903.82,1,0,2
242.62,Credit,San Francisco,Online,22.0,Student,234.0,1.0,483.02000000000004,1,0,3
48.72,Debit,Virginia Beach,Branch,21.0,Student,17.0,1.0,816.0799999999999,1,0,3
43.46,Debit,Boston,ATM,25.0,Student,80.0,1.0,578.06,1,0,3
905.6600000000001,Debit,Omaha,Online,25.0,Student,126.0,1.0,477.3,0,0,0
443.79,Debit,Las Vegas,ATM,53.0,Retired,87.0,1.0,3133.85,2,0,0
365.14,Debit,Dallas,Online,68.0,Retired,57.0,1.0,5894.09,2,0,1
757.41,Debit,Los Angeles,ATM,22.0,Student,37.0,1.0,9532.42,0,0,2
20.54,Debit,Fort Worth,Branch,51.0,Engineer,72.0,1.0,5327.03,1,0,1
475.36,Debit,Phoenix,ATM,34.0,Engineer,105.0,1.0,2000.6,2,0,0
34.74,Debit,San Francisco,ATM,56.0,Retired,24.0,1.0,6827.57,1,0,1
689.54,Debit,Oklahoma City,Branch,27.0,Student,93.0,1.0,1633.76,0,0,0
211.18,Debit,Washington,ATM,73.0,Retired,90.0,1.0,4069.1699999999996,1,0,3
211.36,Credit,Fort Worth,Branch,51.0,Engineer,286.0,1.0,7943.469999999999,1,0,1
744.41,Credit,Houston,Online,39.0,Engineer,107.0,1.0,8842.47,0,0,2
61.43,Debit,Phoenix,Online,24.0,Student,170.0,1.0,1882.77,1,0,3
167.44,Debit,Mesa,Branch,37.0,Doctor,82.0,1.0,12526.71,1,0,2
361.46,Debit,Nashville,Online,21.0,Student,83.0,1.0,4737.84,2,0,1
378.85,Debit,Virginia Beach,Branch,78.0,Retired,126.0,1.0,2300.53,2,0,3
241.10999999999999,Debit,Columbus,Branch,30.0,Doctor,55.0,1.0,12385.05,1,0,2
131.93,Credit,Fort Worth,Branch,31.0,Engineer,13.0,1.0,4547.06,1,0,1
20.28,Debit,Oklahoma City,Online,36.0,Engineer,213.0,1.0,2047.83,1,0,3
415.88,Debit,San Diego,Branch,70.0,Doctor,170.0,1.0,10008.33,2,0,2
905.6600000000001,Debit,Denver,Online,27.0,Student,153.0,1.0,243.92,0,0,0
100.66,Debit,Dallas,Branch,50.0,Doctor,144.0,1.0,14473.33,1,0,2
485.54,Debit,Louisville,Online,19.0,Student,148.0,1.0,1533.32,2,0,0
321.15,Debit,Los Angeles,Branch,46.0,Doctor,179.0,1.0,7005.05,2,0,1
711.3,Debit,San Jose,Branch,21.0,Student,51.00000000000001,1.0,955.4,0,0,0
12.23,Debit,Houston,ATM,42.0,Engineer,139.0,1.0,7844.880000000001,1,0,1
